"pounds_purchased","order_amount","farm_name","coordinates","lat","lon","order_date"
10,NA,"Tualco Valley Farm","47.7740796,-122.1649874",47.7740796,-122.1649874,NA
5,NA,"Flying Tomato Farm","47.5555656,-122.3209544",47.5555656,-122.3209544,NA
80,NA,"Lowlands Farm","47.8062607,-122.122593",47.8062607,-122.122593,NA
200,NA,"Orange Star Farm","47.8634311,-121.9435757",47.8634311,-121.9435757,NA
20,NA,"Orange Star Farm","47.8634311,-121.9435757",47.8634311,-121.9435757,NA
60,NA,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,NA
10,NA,"Regeneration Farm","47.7468366,-122.1555405",47.7468366,-122.1555405,NA
5,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
10,NA,"Tualco Valley Farm","47.7740796,-122.1649874",47.7740796,-122.1649874,NA
10,NA,"Ayeko Farm","47.2274089,-122.0290885",47.2274089,-122.0290885,NA
10,NA,"Caruso Farm","47.8782821,-122.0526352",47.8782821,-122.0526352,NA
40,NA,"Caruso Farm","47.8782821,-122.0526352",47.8782821,-122.0526352,NA
100,NA,"Caruso Farm","47.8782821,-122.0526352",47.8782821,-122.0526352,NA
84,NA,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
90,NA,"Hima Farms","47.6757423,-122.2394706",47.6757423,-122.2394706,NA
72,NA,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,NA
40,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
40,NA,"Sound Vegetables","47.7107537,-122.1618372",47.7107537,-122.1618372,NA
20,NA,"Tualco Valley Farm","47.7740796,-122.1649874",47.7740796,-122.1649874,NA
20,NA,"Tualco Valley Farm","47.7740796,-122.1649874",47.7740796,-122.1649874,NA
10,NA,"Faith Beyond Farm","47.3702846,-122.2897851",47.3702846,-122.2897851,NA
10,NA,"Radicle Roots Farm","47.7605015,-122.3874161",47.7605015,-122.3874161,NA
48,NA,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,NA
60,NA,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,NA
40,NA,"Tualco Valley Farm","47.7740796,-122.1649874",47.7740796,-122.1649874,NA
40,NA,"Tualco Valley Farm","47.7740796,-122.1649874",47.7740796,-122.1649874,NA
100,NA,"Caruso Farm","47.8782821,-122.0526352",47.8782821,-122.0526352,NA
96,NA,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,NA
5,NA,"Regeneration Farm","47.7468366,-122.1555405",47.7468366,-122.1555405,NA
40,NA,"Skylight Farms","47.836134,-122.0852195",47.836134,-122.0852195,NA
200,NA,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,NA
30,NA,"Summer Run Farm","47.6399555,-121.9129127",47.6399555,-121.9129127,NA
10,NA,"Tualco Valley Farm","47.7740796,-122.1649874",47.7740796,-122.1649874,NA
160,500,"Lee's Fresh Produce","47.4140408,-122.2807288",47.4140408,-122.2807288,2019-07-01
175,262.5,"Cascadia Greens","47.2043036,-121.9936887",47.2043036,-121.9936887,2019-05-01
75,150,"Frisky Girl Farm","47.5110334,-121.772594",47.5110334,-121.772594,2019-11-01
50,50,"Tonnemaker Farm Valley",NA,NA,NA,2019-11-01
20,45,"Tonnemaker Farm Valley",NA,NA,NA,2019-11-01
20,45,"Sales & Distribution facility in KC","47.5536765,-122.3382942",47.5536765,-122.3382942,2019-11-01
230,217,"Local Roots Farm","47.6349728,-122.0819622",47.6349728,-122.0819622,2019-09-01
